iso,country,topic,topic_label,count,total_speeches,share
AUS,Australia,22,22_environment_organisation_democracy_rights,1,58,0.017241379310344827
AUS,Australia,23,23_libya_libyan_tunisia_arab,1,58,0.017241379310344827
AUS,Australia,27,27_seychelles_africa_conference_operation,1,58,0.017241379310344827
AUS,Australia,31,31_century_east timor_timor_human,1,58,0.017241379310344827
AUS,Australia,33,33_lebanon_lebanese_israel_arab,1,58,0.017241379310344827
AUS,Australia,46,46_fortieth_south_africa_operation,1,58,0.017241379310344827
AUS,Australia,49,49_pakistan_india_kashmir_nuclear,1,58,0.017241379310344827
AUS,Australia,52,52_korea_republic korea_korean_korean peninsula,1,58,0.017241379310344827
AUS,Australia,62,62_zealand_pacific_nuclear_south pacific,2,58,0.034482758620689655
AUS,Australia,73,73_argentina_argentine_argentine republic_malvinas,1,58,0.017241379310344827
AUS,Australia,88,88_india_korea_great_soviet,2,58,0.034482758620689655
AUS,Australia,89,89_korea_soviet_aggression_soviet union,1,58,0.017241379310344827
AUS,Australia,94,94_australia_australian_pacific_nuclear,27,58,0.46551724137931033
AUS,Australia ,1,1_pandemic_covid_covid 19_19,1,2,0.5
AUS,Australia ,94,94_australia_australian_pacific_nuclear,1,2,0.5
AUS,Austria,94,94_australia_australian_pacific_nuclear,1,1,1.0
AUS,Commonwealth of Australia,1,1_pandemic_covid_covid 19_19,1,2,0.5
AUS,Commonwealth of Australia,94,94_australia_australian_pacific_nuclear,1,2,0.5
AUT,Austria,0,0_sustainable_climate_change_climate change,4,27,0.14814814814814814
AUT,Austria,3,3_soviet_soviet union_union_war,1,27,0.037037037037037035
AUT,Austria,6,6_terrorism_11 september_2001_terrorist,1,27,0.037037037037037035
AUT,Austria,7,7_war_great_soviet_israel,1,27,0.037037037037037035
AUT,Austria,8,8_independence_operation_africa_special,2,27,0.07407407407407407
AUT,Austria,10,10_ukraine_russia_moldova_ukrainian,1,27,0.037037037037037035
AUT,Austria,12,12_viet_viet nam_nam_struggle,1,27,0.037037037037037035
AUT,Austria,15,15_bangladesh_south_africa_operation,1,27,0.037037037037037035
AUT,Austria,18,18_guatemala_american_central_guatemalan,1,27,0.037037037037037035
AUT,Austria,19,19_indonesia_china_disarmament_israel,1,27,0.037037037037037035
AUT,Austria,21,21_netherlands_european_rights_human,1,27,0.037037037037037035
AUT,Austria,25,25_operation_south_africa_disarmament,1,27,0.037037037037037035
AUT,Austria,27,27_seychelles_africa_conference_operation,1,27,0.037037037037037035
AUT,Austria,38,38_developing_south_africa_palestinian,1,27,0.037037037037037035
AUT,Austria,45,45_malaysia_great_nuclear_powers,1,27,0.037037037037037035
AUT,Austria,56,56_ecuador_human_latin_american,1,27,0.037037037037037035
AUT,Austria,64,64_kuwait_operation_south_organisation,1,27,0.037037037037037035
